"transaction_id","date","client_id","produit_id","vendeur_id","quantite","prix_unitaire","montant_total","methode_paiement","statut_livraison","delai_livraison_jours","prenom","nom","age","genre","ville","code_postal","date_inscription","nb_commandes_total","montant_depense_total","nom_vendeur","region","anciennete_mois","objectif_mensuel","nom_produit","categorie","prix_achat","stock_actuel","fournisseur"
"TRX00000038",2023-01-03,"CLI00438","PROD0072","VEND001",1,223.29,223.29,"PayPal","Livré",4,"Paula","Petit",21,"Femme","Toulouse",31000,2020-04-22,18,21916.31,"Sophie Martin","Est",92,44600,"Microphone Studio 2","Audio",114.27,279,"DigitalHub"
"TRX00000039",2023-01-04,"CLI00477","PROD0099","VEND007",1,487.99,487.99,"PayPal","Livré",2,"Fanny","Simon",24,"Homme","Lyon",69000,2023-04-29,20,25682.57,"Claire Thomas","Sud",108,52700,"Pixel Ultra 6","Smartphones",290.8,285,"ElectroWorld"
"TRX00000040",2023-01-04,"CLI00174","PROD0041","VEND012",1,45.77,45.77,"CB","Livré",3,"Quentin","Bertrand",23,"Homme","Nantes",44000,2020-03-19,20,18833.6,"Thomas Leroy","Est",89,40800,"Câble Lightning 2","Accessoires",23.24,211,"DigitalHub"
"TRX00000041",2023-01-04,"CLI00255","PROD0095","VEND015",1,955.35,955.35,"PayPal","Livré",1,"Kevin","Michel",47,"Femme","Strasbourg",67000,2023-07-17,22,35053.34,"Camille David","Est",57,55800,"Pixel Ultra 5","Smartphones",447.98,38,"TechSupply"
"TRX00000042",2023-01-04,"CLI00215","PROD0093","VEND015",1,797.69,797.69,"CB","Livré",3,"Julia","Dubois",40,"Femme","Rennes",35000,2022-01-30,20,30355.92,"Camille David","Est",57,55800,"iPhone Max 4","Smartphones",552.48,499,"TechSource"
"TRX00000043",2023-01-04,"CLI00202","PROD0031","VEND012",2,1419.97,2839.94,"CB","Livré",5,"Diana","Thomas",26,"Homme","Lille",59000,2023-09-17,22,31470.74,"Thomas Leroy","Est",89,40800,"Mini PC Compact 3","Ordinateurs",657.55,50,"TechSupply"
"TRX00000044",2023-01-04,"CLI00092","PROD0053","VEND014",4,515.77,2063.08,"CB","Livré",3,"Alice","Laurent",49,"Femme","Lyon",69000,2020-08-17,25,34655.28,"Alexandre Garcia","Sud",50,74400,"Clavier Gaming RGB","Gaming",281.83,279,"GadgetPro"
"TRX00000045",2023-01-04,"CLI00190","PROD0037","VEND009",1,203.29,203.29,"CB","Livré",8,"Oscar","Roux",44,"Homme","Nantes",44000,2020-02-02,25,22268.4,"Julie Richard","Ouest",76,42900,"Carte Capture 1","Gaming",106.41,329,"TechSource"
"TRX00000046",2023-01-04,"CLI00145","PROD0061","VEND017",2,176.81,353.62,"PayPal","Livré",5,"Julia","Simon",21,"Homme","Lyon",69000,2020-06-13,18,12970.35,"Sarah Roux","Sud",101,44800,"Enceinte Portable 3","Audio",98.34,153,"TechSupply"
"TRX00000047",2023-01-04,"CLI00185","PROD0018","VEND017",2,128.38,256.76,"CB","Livré",7,"Ethan","Leroy",35,"Femme","Nantes",44000,2020-10-01,21,21636.28,"Sarah Roux","Sud",101,44800,"Webcam HD","Accessoires",97.94,63,"ElectroWorld"
"TRX00000048",2023-01-04,"CLI00283","PROD0045","VEND020",3,166.95,500.85,"CB","Livré",7,"Nina","Richard",47,"Homme","Lyon",69000,2023-03-29,16,16857.62,"Antoine Girard","Ouest",59,69300,"Hub USB-C","Accessoires",90.11,301,"TechSource"
"TRX00000049",2023-01-04,"CLI00491","PROD0096","VEND013",2,82.86,165.72,"CB","Livré",3,"George","Robert",47,"Femme","Toulouse",31000,2023-03-25,19,12365.14,"Laura Michel","Sud",21,56100,"Hub USB-C 4","Accessoires",61.01,195,"TechSource"
"TRX00000050",2023-01-04,"CLI00057","PROD0008","VEND006",2,1224.6,2449.2,"CB","Livré",4,"Bob","David",33,"Homme","Nice",6000,2022-10-01,10,9735.63,"Paul Bernard","Ouest",78,50000,"Laptop Pro 15","Ordinateurs",646.5,470,"GadgetPro"
"TRX00000051",2023-01-04,"CLI00140","PROD0099","VEND001",1,379.72,379.72,"PayPal","Livré",4,"Simon","Garcia",18,"Homme","Strasbourg",67000,2020-05-03,16,17890.63,"Sophie Martin","Est",92,44600,"Pixel Ultra 6","Smartphones",290.8,285,"ElectroWorld"
"TRX00000052",2023-01-04,"CLI00342","PROD0007","VEND003",1,656.77,656.77,"CB","Livré",2,"Diana","Martin",25,"Femme","Toulouse",31000,2020-07-11,25,18510.49,"Marie Laurent","Est",35,65000,"Galaxy Note Pro","Smartphones",315.69,24,"GadgetPro"
"TRX00000053",2023-01-05,"CLI00449","PROD0075","VEND010",3,1139.83,3419.49,"CB","Livré",4,"Paula","Dubois",49,"Femme","Nice",6000,2023-11-30,19,24239.05,"Luc Petit","Sud",7,37500,"Phone X12 2","Smartphones",793.45,54,"TechSource"
"TRX00000054",2023-01-05,"CLI00358","PROD0028","VEND001",1,247.34,247.34,"PayPal","Livré",1,"Julia","Leroy",44,"Homme","Lille",59000,2022-11-05,23,21920.53,"Sophie Martin","Est",92,44600,"Casque Gaming 1","Audio",164.45,84,"TechSource"
"TRX00000055",2023-01-05,"CLI00422","PROD0077","VEND008",1,467.51,467.51,"CB","Livré",5,"George","Garcia",30,"Femme","Bordeaux",33000,2022-11-14,27,21121.54,"Marc Robert","Sud",9,36100,"OnePlus Flagship 1","Smartphones",223.7,419,"TechSupply"
"TRX00000056",2023-01-05,"CLI00135","PROD0070","VEND015",2,1043.61,2087.22,"Virement","Livré",3,"Oscar","Robert",53,"Femme","Lille",59000,2023-01-10,17,20226.96,"Camille David","Est",57,55800,"Pixel Ultra 3","Smartphones",662.12,325,"TechSource"
"TRX00000057",2023-01-05,"CLI00397","PROD0090","VEND011",1,121.46,121.46,"PayPal","Livré",4,"Marc","Michel",30,"Femme","Bordeaux",33000,2020-08-26,24,24863.5,"Emma Durand","Nord",31,50800,"Housse Protection 1","Accessoires",68.84,76,"ElectroWorld"
"TRX00000058",2023-01-05,"CLI00188","PROD0074","VEND006",3,161.35,484.05,"CB","Livré",4,"Oscar","Moreau",34,"Femme","Nice",6000,2023-05-08,22,19650.62,"Paul Bernard","Ouest",78,50000,"Hub USB-C 2","Accessoires",91.29,276,"GadgetPro"
"TRX00000059",2023-01-05,"CLI00445","PROD0012","VEND003",1,1115.82,1115.82,"CB","Livré",6,"Charlie","Moreau",32,"Femme","Lyon",69000,2020-02-28,27,31781.52,"Marie Laurent","Est",35,65000,"iPhone Max","Smartphones",719.89,285,"DigitalHub"
"TRX00000060",2023-01-05,"CLI00401","PROD0054","VEND017",3,42.79,128.37,"CB","Livré",5,"Paula","Garcia",32,"Femme","Toulouse",31000,2020-10-23,18,15633.01,"Sarah Roux","Sud",101,44800,"Webcam HD 3","Accessoires",29.36,112,"ElectroWorld"
"TRX00000061",2023-01-05,"CLI00408","PROD0062","VEND012",5,131.44,657.2,"CB","Livré",1,"Julia","Bernard",27,"Homme","Marseille",13000,2023-02-08,17,19418.27,"Thomas Leroy","Est",89,40800,"Webcam HD 4","Accessoires",80.82,101,"TechSource"
"TRX00000062",2023-01-06,"CLI00259","PROD0062","VEND011",1,165.22,165.22,"CB","Livré",5,"Charlie","Bertrand",43,"Homme","Lille",59000,2021-12-26,18,18617.11,"Emma Durand","Nord",31,50800,"Webcam HD 4","Accessoires",80.82,101,"TechSource"
"TRX00000063",2023-01-06,"CLI00038","PROD0063","VEND008",1,926.77,926.77,"CB","Livré",4,"Charlie","Petit",19,"Femme","Paris",75000,2023-01-17,19,22815.4,"Marc Robert","Sud",9,36100,"Xiaomi Pro","Smartphones",419.86,493,"DigitalHub"
"TRX00000064",2023-01-06,"CLI00275","PROD0099","VEND010",3,359.85,1079.55,"CB","Livré",3,"Quentin","Robert",53,"Homme","Nice",6000,2023-05-27,22,29848.22,"Luc Petit","Sud",7,37500,"Pixel Ultra 6","Smartphones",290.8,285,"ElectroWorld"
"TRX00000065",2023-01-06,"CLI00311","PROD0032","VEND013",1,2057.23,2057.23,"PayPal","Livré",8,"Charlie","Richard",42,"Femme","Strasbourg",67000,2021-01-14,24,13532.84,"Laura Michel","Sud",21,56100,"Laptop Pro 15 2","Ordinateurs",901.01,73,"ElectroWorld"
"TRX00000066",2023-01-06,"CLI00267","PROD0016","VEND017",1,1027.53,1027.53,"CB","Livré",9,"Quentin","Laurent",30,"Homme","Marseille",13000,2022-04-25,25,29757.52,"Sarah Roux","Sud",101,44800,"All-in-One Pro","Ordinateurs",698.17,109,"TechSource"
"TRX00000067",2023-01-06,"CLI00292","PROD0002","VEND003",1,166.97,166.97,"CB","Livré",8,"Simon","Laurent",37,"Femme","Paris",75000,2020-05-18,28,26323.44,"Marie Laurent","Est",35,65000,"Manette Pro Controller","Gaming",97.79,307,"TechSupply"
"TRX00000068",2023-01-06,"CLI00206","PROD0040","VEND002",2,157.63,315.26,"PayPal","Livré",3,"Ethan","Dubois",40,"Homme","Nantes",44000,2023-09-30,18,17798.84,"Pierre Dubois","Sud",34,78400,"Clavier Mécanique RGB","Accessoires",73.77,459,"ElectroWorld"
"TRX00000069",2023-01-06,"CLI00075","PROD0064","VEND003",2,60.9,121.8,"CB","Livré",5,"Paula","Laurent",48,"Homme","Nice",6000,2022-01-07,18,14492.11,"Marie Laurent","Est",35,65000,"Câble Lightning 3","Accessoires",42.89,254,"TechSupply"
"TRX00000070",2023-01-07,"CLI00095","PROD0071","VEND003",1,631.37,631.37,"CB","Livré",5,"Quentin","Roux",28,"Homme","Lyon",69000,2022-05-22,21,23700.96,"Marie Laurent","Est",35,65000,"Clavier Gaming RGB 1","Gaming",335.28,271,"ElectroWorld"
"TRX00000071",2023-01-07,"CLI00385","PROD0047","VEND003",4,42.07,168.28,"PayPal","Livré",3,"Marc","Michel",58,"Femme","Nantes",44000,2021-02-03,24,34958.24,"Marie Laurent","Est",35,65000,"Adaptateur USB 2","Accessoires",21.23,418,"ElectroWorld"
"TRX00000072",2023-01-07,"CLI00216","PROD0038","VEND011",2,111.73,223.46,"Virement","Livré",5,"Hannah","Martin",28,"Homme","Marseille",13000,2023-11-23,20,28738.15,"Emma Durand","Nord",31,50800,"Webcam HD 2","Accessoires",62.55,213,"GadgetPro"
"TRX00000073",2023-01-07,"CLI00165","PROD0091","VEND014",1,134.38,134.38,"CB","Annulé",0,"Kevin","Thomas",26,"Femme","Nice",6000,2022-02-15,17,13597.29,"Alexandre Garcia","Sud",50,74400,"Hub USB-C 3","Accessoires",59.23,82,"TechSupply"
"TRX00000074",2023-01-07,"CLI00312","PROD0034","VEND018",2,573.55,1147.1,"PayPal","Livré",5,"Simon","Roux",43,"Homme","Nantes",44000,2020-03-17,17,17791.81,"Julien Lefebvre","Sud",44,41200,"Ecran 144Hz","Gaming",351.89,361,"TechSource"
"TRX00000075",2023-01-07,"CLI00354","PROD0097","VEND017",1,732.26,732.26,"CB","Livré",3,"Alice","Martin",29,"Femme","Marseille",13000,2023-05-19,21,29288.37,"Sarah Roux","Sud",101,44800,"Ecran 144Hz 1","Gaming",357.54,256,"TechSource"
"TRX00000076",2023-01-07,"CLI00274","PROD0074","VEND004",1,165.57,165.57,"CB","Livré",3,"Julia","Simon",28,"Femme","Lille",59000,2022-07-30,16,19496.29,"Jean Moreau","Ouest",86,67300,"Hub USB-C 2","Accessoires",91.29,276,"GadgetPro"
"TRX00000077",2023-01-07,"CLI00450","PROD0093","VEND010",1,1052.59,1052.59,"CB","Livré",5,"Julia","Durand",41,"Femme","Lyon",69000,2023-12-26,33,30683.83,"Luc Petit","Sud",7,37500,"iPhone Max 4","Smartphones",552.48,499,"TechSource"
"TRX00000078",2023-01-07,"CLI00371","PROD0088","VEND005",1,886.47,886.47,"CB","Livré",3,"Ethan","Roux",24,"Homme","Rennes",35000,2021-11-23,15,16140.33,"Anne Simon","Sud",62,30700,"All-in-One Pro 2","Ordinateurs",412.93,225,"ElectroWorld"
"TRX00000079",2023-01-07,"CLI00121","PROD0021","VEND004",1,1202.02,1202.02,"CB","En cours",4,"Tania","Roux",30,"Femme","Toulouse",31000,2023-05-08,22,25801.6,"Jean Moreau","Ouest",86,67300,"Ultrabook Air 1","Ordinateurs",480.85,476,"TechSupply"
"TRX00000080",2023-01-07,"CLI00318","PROD0010","VEND003",2,308.78,617.56,"CB","Livré",1,"Paula","David",36,"Homme","Nice",6000,2022-11-22,24,26339.84,"Marie Laurent","Est",35,65000,"Galaxy Note Pro 1","Smartphones",210.66,423,"TechSupply"
"TRX00000081",2023-01-07,"CLI00313","PROD0077","VEND009",1,473.77,473.77,"PayPal","Livré",4,"Hannah","Bertrand",29,"Femme","Nice",6000,2022-08-24,23,23919.25,"Julie Richard","Ouest",76,42900,"OnePlus Flagship 1","Smartphones",223.7,419,"TechSupply"
"TRX00000082",2023-01-07,"CLI00473","PROD0063","VEND014",5,944.04,4720.2,"CB","Livré",5,"Simon","Robert",18,"Femme","Lille",59000,2023-03-11,23,19983.52,"Alexandre Garcia","Sud",50,74400,"Xiaomi Pro","Smartphones",419.86,493,"DigitalHub"
"TRX00000083",2023-01-08,"CLI00019","PROD0081","VEND011",1,185.24,185.24,"PayPal","Livré",4,"Nina","Leroy",41,"Femme","Nantes",44000,2021-05-03,26,34919.53,"Emma Durand","Nord",31,50800,"Cable HDMI 3","Accessoires",84.89,338,"TechSupply"
"TRX00000084",2023-01-08,"CLI00154","PROD0034","VEND008",1,592.79,592.79,"CB","Livré",4,"Fanny","Laurent",35,"Homme","Rennes",35000,2023-02-14,20,23225.07,"Marc Robert","Sud",9,36100,"Ecran 144Hz","Gaming",351.89,361,"TechSource"
"TRX00000085",2023-01-08,"CLI00341","PROD0011","VEND009",1,1008.01,1008.01,"CB","En cours",4,"Kevin","Simon",32,"Homme","Nantes",44000,2023-07-09,17,22393.99,"Julie Richard","Ouest",76,42900,"Laptop Pro 15 1","Ordinateurs",737.48,367,"ElectroWorld"
"TRX00000086",2023-01-08,"CLI00223","PROD0054","VEND011",1,52.43,52.43,"CB","Livré",3,"Tania","Petit",22,"Homme","Nantes",44000,2021-08-08,26,34886.64,"Emma Durand","Nord",31,50800,"Webcam HD 3","Accessoires",29.36,112,"ElectroWorld"
"TRX00000087",2023-01-08,"CLI00151","PROD0040","VEND019",1,170.41,170.41,"PayPal","Livré",4,"Nina","Richard",50,"Homme","Toulouse",31000,2020-07-30,19,22069.94,"Manon Fournier","Nord",39,32700,"Clavier Mécanique RGB","Accessoires",73.77,459,"ElectroWorld"
"TRX00000088",2023-01-08,"CLI00001","PROD0078","VEND015",1,212.5,212.5,"CB","Livré",4,"Oscar","Robert",24,"Homme","Lyon",69000,2023-03-16,25,30626.14,"Camille David","Est",57,55800,"Enceinte Portable 4","Audio",124.15,491,"GadgetPro"
"TRX00000089",2023-01-08,"CLI00001","PROD0066","VEND005",1,1711.04,1711.04,"CB","Livré",3,"Oscar","Robert",24,"Homme","Lyon",69000,2023-03-16,25,30626.14,"Anne Simon","Sud",62,30700,"iPhone Max 2","Smartphones",767.02,390,"ElectroWorld"
"TRX00000090",2023-01-08,"CLI00177","PROD0052","VEND016",4,857,3428,"CB","Livré",2,"Bob","Laurent",33,"Femme","Toulouse",31000,2023-11-11,23,20602.19,"Nicolas Bertrand","Est",118,51300,"Phone X12 1","Smartphones",456.46,334,"TechSupply"
"TRX00000091",2023-01-08,"CLI00499","PROD0044","VEND004",3,428.77,1286.31,"Virement","Livré",3,"Nina","Durand",47,"Femme","Lille",59000,2022-12-06,23,30506.76,"Jean Moreau","Ouest",86,67300,"Pixel Ultra 1","Smartphones",234.92,445,"TechSource"
"TRX00000092",2023-01-08,"CLI00361","PROD0072","VEND002",2,224.03,448.06,"CB","Livré",10,"Paula","Bertrand",18,"Homme","Lille",59000,2021-11-26,24,37418.58,"Pierre Dubois","Sud",34,78400,"Microphone Studio 2","Audio",114.27,279,"DigitalHub"
"TRX00000093",2023-01-09,"CLI00376","PROD0093","VEND002",2,1316.47,2632.94,"PayPal","En cours",4,"Rachel","Moreau",36,"Homme","Rennes",35000,2021-05-27,23,19284.22,"Pierre Dubois","Sud",34,78400,"iPhone Max 4","Smartphones",552.48,499,"TechSource"
"TRX00000094",2023-01-09,"CLI00384","PROD0068","VEND005",1,510.98,510.98,"CB","Livré",4,"Charlie","Dubois",37,"Femme","Marseille",13000,2021-11-04,21,23432.89,"Anne Simon","Sud",62,30700,"Manette Pro Controller 2","Gaming",351.04,425,"ElectroWorld"
"TRX00000095",2023-01-09,"CLI00173","PROD0039","VEND020",1,600.44,600.44,"CB","Annulé",0,"Ivan","Simon",35,"Homme","Lyon",69000,2022-06-14,17,16021.45,"Antoine Girard","Ouest",59,69300,"Galaxy Note Pro 2","Smartphones",299.31,126,"ElectroWorld"
